1	2	4
1	3	5
1	4	6
1	5	1
1	6	2
1	7	3
2	8	4
2	9	5
2	3	6
2	1	1
2	7	2
2	19	3
3	9	4
3	10	5
3	11	6
3	4	1
3	1	2
3	2	3
4	3	4
4	11	5
4	12	6
4	13	1
4	5	2
4	1	3
5	1	4
5	4	5
5	13	6
5	14	1
5	15	2
5	6	3
6	7	4
6	1	5
6	5	6
6	15	1
6	16	2
6	17	3
7	19	4
7	2	5
7	1	6
7	6	1
7	17	2
7	18	3
8	20	4
8	21	5
8	9	6
8	2	1
8	19	2
8	37	3
9	21	4
9	22	5
9	10	6
9	3	1
9	2	2
9	8	3
10	22	4
10	23	5
10	24	6
10	11	1
10	3	2
10	9	3
11	10	4
11	24	5
11	25	6
11	12	1
11	4	2
11	3	3
12	11	4
12	25	5
12	26	6
12	27	1
12	13	2
12	4	3
13	4	4
13	12	5
13	27	6
13	28	1
13	14	2
13	5	3
14	5	4
14	13	5
14	28	6
14	29	1
14	30	2
14	15	3
15	6	4
15	5	5
15	14	6
15	30	1
15	31	2
15	16	3
16	17	4
16	6	5
16	15	6
16	31	1
16	32	2
16	33	3
17	18	4
17	7	5
17	6	6
17	16	1
17	33	2
17	34	3
18	36	4
18	19	5
18	7	6
18	17	1
18	34	2
18	35	3
19	37	4
19	8	5
19	2	6
19	7	1
19	18	2
19	36	3
20	38	4
20	39	5
20	21	6
20	8	1
20	37	2
20	61	3
21	39	4
21	40	5
21	22	6
21	9	1
21	8	2
21	20	3
22	40	4
22	41	5
22	23	6
22	10	1
22	9	2
22	21	3
23	41	4
23	42	5
23	43	6
23	24	1
23	10	2
23	22	3
24	23	4
24	43	5
24	44	6
24	25	1
24	11	2
24	10	3
25	24	4
25	44	5
25	45	6
25	26	1
25	12	2
25	11	3
26	25	4
26	45	5
26	46	6
26	47	1
26	27	2
26	12	3
27	12	4
27	26	5
27	47	6
27	48	1
27	28	2
27	13	3
28	13	4
28	27	5
28	48	6
28	49	1
28	29	2
28	14	3
29	14	4
29	28	5
29	49	6
29	50	1
29	51	2
29	30	3
30	15	4
30	14	5
30	29	6
30	51	1
30	52	2
30	31	3
31	16	4
31	15	5
31	30	6
31	52	1
31	53	2
31	32	3
32	33	4
32	16	5
32	31	6
32	53	1
32	54	2
32	55	3
33	34	4
33	17	5
33	16	6
33	32	1
33	55	2
33	56	3
34	35	4
34	18	5
34	17	6
34	33	1
34	56	2
34	57	3
35	59	4
35	36	5
35	18	6
35	34	1
35	57	2
35	58	3
36	60	4
36	37	5
36	19	6
36	18	1
36	35	2
36	59	3
37	61	4
37	20	5
37	8	6
37	19	1
37	36	2
37	60	3
38	62	4
38	63	5
38	39	6
38	20	1
38	61	2
38	91	3
39	63	4
39	64	5
39	40	6
39	21	1
39	20	2
39	38	3
40	64	4
40	65	5
40	41	6
40	22	1
40	21	2
40	39	3
41	65	4
41	66	5
41	42	6
41	23	1
41	22	2
41	40	3
42	66	4
42	67	5
42	68	6
42	43	1
42	23	2
42	41	3
43	42	4
43	68	5
43	69	6
43	44	1
43	24	2
43	23	3
44	43	4
44	69	5
44	70	6
44	45	1
44	25	2
44	24	3
45	44	4
45	70	5
45	71	6
45	46	1
45	26	2
45	25	3
46	45	4
46	71	5
46	72	6
46	73	1
46	47	2
46	26	3
47	26	4
47	46	5
47	73	6
47	74	1
47	48	2
47	27	3
48	27	4
48	47	5
48	74	6
48	75	1
48	49	2
48	28	3
49	28	4
49	48	5
49	75	6
49	76	1
49	50	2
49	29	3
50	29	4
50	49	5
50	76	6
50	77	1
50	78	2
50	51	3
51	30	4
51	29	5
51	50	6
51	78	1
51	79	2
51	52	3
52	31	4
52	30	5
52	51	6
52	79	1
52	80	2
52	53	3
53	32	4
53	31	5
53	52	6
53	80	1
53	81	2
53	54	3
54	55	4
54	32	5
54	53	6
54	81	1
54	82	2
54	83	3
55	56	4
55	33	5
55	32	6
55	54	1
55	83	2
55	84	3
56	57	4
56	34	5
56	33	6
56	55	1
56	84	2
56	85	3
57	58	4
57	35	5
57	34	6
57	56	1
57	85	2
57	86	3
58	88	4
58	59	5
58	35	6
58	57	1
58	86	2
58	87	3
59	89	4
59	60	5
59	36	6
59	35	1
59	58	2
59	88	3
60	90	4
60	61	5
60	37	6
60	36	1
60	59	2
60	89	3
61	91	4
61	38	5
61	20	6
61	37	1
61	60	2
61	90	3
62	92	4
62	93	5
62	63	6
62	38	1
62	91	2
62	127	3
63	93	4
63	94	5
63	64	6
63	39	1
63	38	2
63	62	3
64	94	4
64	95	5
64	65	6
64	40	1
64	39	2
64	63	3
65	95	4
65	96	5
65	66	6
65	41	1
65	40	2
65	64	3
66	96	4
66	97	5
66	67	6
66	42	1
66	41	2
66	65	3
67	97	4
67	98	5
67	99	6
67	68	1
67	42	2
67	66	3
68	67	4
68	99	5
68	100	6
68	69	1
68	43	2
68	42	3
69	68	4
69	100	5
69	101	6
69	70	1
69	44	2
69	43	3
70	69	4
70	101	5
70	102	6
70	71	1
70	45	2
70	44	3
71	70	4
71	102	5
71	103	6
71	72	1
71	46	2
71	45	3
72	71	4
72	103	5
72	104	6
72	105	1
72	73	2
72	46	3
73	46	4
73	72	5
73	105	6
73	106	1
73	74	2
73	47	3
74	47	4
74	73	5
74	106	6
74	107	1
74	75	2
74	48	3
75	48	4
75	74	5
75	107	6
75	108	1
75	76	2
75	49	3
76	49	4
76	75	5
76	108	6
76	109	1
76	77	2
76	50	3
77	50	4
77	76	5
77	109	6
77	110	1
77	111	2
77	78	3
78	51	4
78	50	5
78	77	6
78	111	1
78	112	2
78	79	3
79	52	4
79	51	5
79	78	6
79	112	1
79	113	2
79	80	3
80	53	4
80	52	5
80	79	6
80	113	1
80	114	2
80	81	3
81	54	4
81	53	5
81	80	6
81	114	1
81	115	2
81	82	3
82	83	4
82	54	5
82	81	6
82	115	1
82	116	2
82	117	3
83	84	4
83	55	5
83	54	6
83	82	1
83	117	2
83	118	3
84	85	4
84	56	5
84	55	6
84	83	1
84	118	2
84	119	3
85	86	4
85	57	5
85	56	6
85	84	1
85	119	2
85	120	3
86	87	4
86	58	5
86	57	6
86	85	1
86	120	2
86	121	3
87	123	4
87	88	5
87	58	6
87	86	1
87	121	2
87	122	3
88	124	4
88	89	5
88	59	6
88	58	1
88	87	2
88	123	3
89	125	4
89	90	5
89	60	6
89	59	1
89	88	2
89	124	3
90	126	4
90	91	5
90	61	6
90	60	1
90	89	2
90	125	3
91	127	4
91	62	5
91	38	6
91	61	1
91	90	2
91	126	3
92	128	4
92	129	5
92	93	6
92	62	1
92	127	2
92	169	3
93	129	4
93	130	5
93	94	6
93	63	1
93	62	2
93	92	3
94	130	4
94	131	5
94	95	6
94	64	1
94	63	2
94	93	3
95	131	4
95	132	5
95	96	6
95	65	1
95	64	2
95	94	3
96	132	4
96	133	5
96	97	6
96	66	1
96	65	2
96	95	3
97	133	4
97	134	5
97	98	6
97	67	1
97	66	2
97	96	3
98	134	4
98	135	5
98	136	6
98	99	1
98	67	2
98	97	3
99	98	4
99	136	5
99	137	6
99	100	1
99	68	2
99	67	3
100	99	4
100	137	5
100	138	6
100	101	1
100	69	2
100	68	3
101	100	4
101	138	5
101	139	6
101	102	1
101	70	2
101	69	3
102	101	4
102	139	5
102	140	6
102	103	1
102	71	2
102	70	3
103	102	4
103	140	5
103	141	6
103	104	1
103	72	2
103	71	3
104	103	4
104	141	5
104	142	6
104	143	1
104	105	2
104	72	3
105	72	4
105	104	5
105	143	6
105	144	1
105	106	2
105	73	3
106	73	4
106	105	5
106	144	6
106	145	1
106	107	2
106	74	3
107	74	4
107	106	5
107	145	6
107	146	1
107	108	2
107	75	3
108	75	4
108	107	5
108	146	6
108	147	1
108	109	2
108	76	3
109	76	4
109	108	5
109	147	6
109	148	1
109	110	2
109	77	3
110	77	4
110	109	5
110	148	6
110	149	1
110	150	2
110	111	3
111	78	4
111	77	5
111	110	6
111	150	1
111	151	2
111	112	3
112	79	4
112	78	5
112	111	6
112	151	1
112	152	2
112	113	3
113	80	4
113	79	5
113	112	6
